collection_site,collection_month,mean_doc,mean_streamwater_mehg,chironomid_mehg
Bartlett Brook,May,3.82,0.23,336.83
Bartlett Brook,June,3.82,0.23,412.51
Bartlett Brook,July,3.82,0.23,379.08
Beck Brook,May,2.09,0.03,83.44
Beck Brook,June,2.09,0.03,86.82
Beck Brook,July,2.09,0.03,137.22
Blodgett North,May,8.68,0.57,378.07
Blodgett North,June,8.68,0.57,438.07
Blodgett North,July,8.68,0.57,363.67
Blodgett South,May,3.82,0.11,316.1
Blodgett South,June,3.82,0.11,379.9
Herrick Cove South,May,10.75,0.25,292.6
Herrick Cove South,June,10.75,0.25,229.1
Herrick Cove South,July,10.75,0.25,224.57
Kidder Brook Upper,May,6.52,0.36,279.92
Kidder Brook Upper,June,6.52,0.36,254.22
Kidder Brook Upper,July,6.52,0.36,303.72
King Hill Brook Upstream,May,6.66,0.32,355.07
King Hill Brook Upstream,June,6.66,0.32,368.38
King Hill Brook Upstream,July,6.66,0.32,326.62
Otter Pond Brook,May,4.51,0.02,62.41
Otter Pond Brook,June,4.51,0.02,66.58
Otter Pond Brook,July,4.51,0.02,73.34
Pike Brook,May,5.51,0.23,351.81
Pike Brook,June,5.51,0.23,300.68
Pike Brook,July,5.51,0.23,379.39
Red Water Creek,May,9.8,0.37,225.09
Red Water Creek,June,9.8,0.37,335.89
Red Water Creek,July,9.8,0.37,349.63
